word,meaning,tone,example,generation
rizz,Charisma or charm especially the ability to attract a romantic interest.,positive,He's got so much rizz he got her number in 5 minutes.,Gen-Z
cap,A lie or to lie. 'No cap' means 'no lie' or 'for real'.,neutral,That's cap I saw you there yesterday!,Gen-Z
sus,Suspicious or suspect. Something that seems off or untrustworthy.,negative,He's acting kinda sus about where he was last night.,Gen-Z
fire,Something that is extremely good impressive or cool.,positive,That new album is straight fire!,Gen-Z
mid,Something that is mediocre average or underwhelming.,negative,The movie was pretty mid wouldn't watch again.,Gen-Z
bussin,Really good especially when describing food.,positive,This pizza is bussin you gotta try it!,Gen-Z
no cap,For real honestly no lie.,neutral,No cap that was the best concert I've ever been to.,Gen-Z
slay,To do something exceptionally well or look amazing.,positive,You're going to slay that presentation!,Gen-Z
bet,An expression of agreement or confirmation similar to 'okay' or 'sounds good'.,neutral,Want to grab lunch? Bet I'll meet you there.,Gen-Z
gyatt,An exclamation expressing attraction or appreciation often about someone's appearance.,positive,Gyatt! Did you see her outfit today?,Gen-Alpha
skibidi,A viral term from Skibidi Toilet used as an absurdist expression or dance reference.,neutral,He just started doing the skibidi dance in class.,Gen-Alpha
sigma,A lone wolf personality type someone who is independent and doesn't follow social norms.,neutral,He's such a sigma always doing his own thing.,Gen-Z
brainrot,Content that is mindless or when someone consumes too much internet content.,sarcastic,All those TikToks are giving me brainrot.,Gen-Alpha
ohio,A meme reference meaning something weird cursed or chaotic.,sarcastic,That video is so Ohio I can't even explain it.,Gen-Alpha
lowkey,Somewhat or secretly; used to soften a statement.,neutral,I lowkey want to skip the party tonight.,Gen-Z
highkey,Very much or openly; the opposite of lowkey.,neutral,I highkey need a vacation right now.,Gen-Z
vibe,The atmosphere or energy of a place or situation.,positive,This coffee shop has such a good vibe.,Gen-Z
snatched,Looking really good especially when styled well.,positive,Your makeup is snatched today!,Gen-Z
stan,To be a very devoted fan of someone or something.,positive,I stan this artist so hard.,Gen-Z
goated,Exceptionally good or one of the best ever.,positive,That performance was goated for real.,Gen-Z
delulu,Delusional in a joking or self-aware way often about hopes or crushes.,sarcastic,I'm delulu enough to think he'll text me back.,Gen-Z
ate,Did an amazing job or looked incredible.,positive,She ate that look up and left no crumbs.,Gen-Z
left no crumbs,Did something so well that nothing was lacking.,positive,That dance crew left no crumbs on stage.,Gen-Z
it's giving,Used to describe the vibe or energy something is projecting.,neutral,That outfit is giving main character energy.,Gen-Z
main character energy,Confident attention-grabbing presence like the star of the story.,positive,He walked in with main character energy.,Gen-Z
understood the assignment,Delivered exactly what was needed in a stylish or impressive way.,positive,That designer understood the assignment with this collection.,Gen-Z
touch grass,Telling someone to log off and spend time in the real world.,sarcastic,You've argued online for six hours go touch grass.,Gen-Z
ratio,When a reply gets more engagement than the original post as a sign people disagree.,negative,He got ratioed after that bad take.,Gen-Z
ratioed,Overtaken in engagement by replies because people disliked the original post.,negative,She got ratioed for that wild opinion.,Gen-Z
W,A win or something clearly good.,positive,Getting free tickets was a huge W.,Gen-Z
L,A loss or something embarrassing or disappointing.,negative,Missing the train was such an L.,Gen-Z
common W,A predictable win because someone or something is consistently good.,positive,That streamer donating again is a common W.,Gen-Z
common L,A predictable failure because someone keeps messing up.,negative,Showing up late again is a common L for him.,Gen-Z
NPC,Someone acting generic repetitive or lacking independent thought.,sarcastic,He says the same three lines every day like an NPC.,Gen-Z
cheugy,Outdated or trying too hard to be trendy in an uncool way.,negative,That phrase feels kind of cheugy now.,Millennial
drip,Stylish clothing or strong fashion sense.,positive,His drip was crazy at the party.,Gen-Z
drippy,Having especially stylish or eye-catching fashion.,positive,Those sneakers are drippy.,Gen-Z
cooked,In trouble finished overwhelmed or performing badly depending on context.,negative,I'm cooked if this assignment is due tonight.,Gen-Z
let him cook,Give someone space to keep going because their idea may turn out well.,positive,The beat just dropped let him cook.,Gen-Z
cook,To do something skillfully or build toward something impressive.,positive,She really cooked with that essay.,Gen-Z
locked in,Fully focused and mentally committed.,positive,I'm locked in for finals week.,Gen-Z
aura,Someone's cool factor presence or natural energy.,positive,He gained so much aura after that comeback.,Gen-Z
mog,To outshine or look better than someone especially in appearance or confidence.,sarcastic,He walked in and mogged the whole room.,Gen-Z
glazing,Overpraising someone in an excessive or embarrassing way.,sarcastic,You're glazing that rapper way too hard.,Gen-Z
crash out,To spiral emotionally and act recklessly.,negative,He might crash out if they keep provoking him.,Gen-Z
valid,Acceptable cool or worthy of approval.,positive,Your top five movies list is valid.,Gen-Z
pressed,Annoyed bothered or overly upset about something.,negative,Why are you so pressed over a meme?,Gen-Z
finna,About to do something.,neutral,I'm finna head out after this song.,Millennial
say less,I understand and no further explanation is needed.,neutral,You need help moving? Say less I'm there.,Gen-Z
green flag,A positive sign about a person or situation.,positive,Being kind to servers is a major green flag.,Gen-Z
red flag,A warning sign that something or someone may be a problem.,negative,That level of jealousy is a red flag.,Gen-Z
be so for real,Used to call out something unbelievable dramatic or unserious.,sarcastic,Be so for real you did not finish that in five minutes.,Gen-Z
iykyk,If you know you know; a reference understood only by people familiar with it.,neutral,That afterparty spot is elite iykyk.,Gen-Z
core,A suffix used to describe a distinct aesthetic or theme.,neutral,Her room is totally coastal grandma core.,Gen-Z
chopped,Unattractive or socially uncool used as a harsh insult.,negative,He said my haircut looked chopped after the game.,Gen-Z
aura farming,Doing things in a deliberately cool or mysterious way to build social clout.,sarcastic,That slow-motion coffee sip was pure aura farming.,Gen-Z
gen z stare,A blank expression people joke Gen Z gives when a response seems expected.,sarcastic,I asked about the order and got the full Gen Z stare.,Gen-Z
67,A mostly nonsensical viral Gen Alpha response or inside joke used for swagger or absurd humor.,sarcastic,He answered 67 to every question in class today.,Gen-Alpha
41,Another mostly nonsensical Gen Alpha number meme used as an inside joke or random reply.,sarcastic,The whole lunch table kept yelling 41 for no reason.,Gen-Alpha
getting sendy,Going all out or doing something in an exaggerated enthusiastic way.,positive,They were getting sendy on the dance floor after the beat dropped.,Gen-Z
clanker,A derogatory slang term for a robot chatbot or AI tool.,negative,He called the customer service bot a clanker when it looped the same reply.,Gen-Z
slop,Low-quality mass-produced digital content often associated with AI spam.,negative,My feed is full of AI slop today.,Gen-Z
simp,Someone who does way too much for someone they like.,sarcastic,He's such a simp for her bought her flowers every day.,Gen-Z
based,Being true to yourself regardless of others' opinions; admirable authenticity.,positive,That was such a based take on the situation.,Gen-Z
valid,Acceptable understandable or reasonable.,positive,Your feelings are totally valid.,Gen-Z
salty,Being bitter or upset about something.,negative,Don't be so salty just because you lost the game.,Gen-Z
ghosting,Suddenly cutting off all communication with someone without explanation.,negative,He's been ghosting me for a week now.,Gen-Z
hits different,When something feels better or more meaningful in a certain context.,positive,This song hits different at 3am.,Gen-Z
understood the assignment,Perfectly executed what was expected; nailed it.,positive,She wore that outfit and truly understood the assignment.,Gen-Z
rent free,When something or someone occupies your thoughts constantly without effort.,sarcastic,That song is living rent free in my head.,Gen-Z
main character,Acting like you are the protagonist of your own life story.,positive,She's such a main character energy today.,Gen-Z
no thoughts head empty,A state of blissful mental blankness.,sarcastic,Me on Monday morning: no thoughts head empty.,Gen-Z
ate,Did something really well; nailed the moment.,positive,She walked in and absolutely ate that look.,Gen-Z
delulu,Delusional but in a self-aware and often funny way.,sarcastic,I'm delulu for thinking he'd text back.,Gen-Alpha
rizzing up,Actively charming or flirting with someone.,positive,He was rizzing up his crush all night.,Gen-Alpha
NPC,Someone who seems to lack independent thought or acts robotically.,sarcastic,That coworker is such an NPC just following scripts.,Gen-Alpha
fanum tax,When a friend steals food from your plate as a joke.,sarcastic,Stop paying the fanum tax on my fries!,Gen-Alpha
glazing,Excessively praising someone or something to the point of absurdity.,sarcastic,The way fans are glazing that mediocre game is wild.,Gen-Alpha
touch grass,Go outside and experience the real world; take a break from the internet.,negative,You've been online 10 hours. Touch grass.,Gen-Z
caught in 4K,Caught doing something undeniable because of clear evidence.,negative,He was caught in 4K lying about being at work.,Gen-Z
periodt,A strong affirmative at the end of a statement meaning 'and that's final'.,positive,She's the best and periodt.,Gen-Z
say less,I understand; no need to say more.,neutral,You need help moving Saturday? Say less I'll be there.,Gen-Z
hitting,Something is very good or effective.,positive,That workout routine is hitting differently.,Gen-Z
lowkey snack,Someone who is attractive in a subtle understated way.,positive,She's a lowkey snack tbh.,Gen-Z
cancel,To publicly call out and boycott someone for problematic behavior.,negative,He got cancelled after those old tweets resurfaced.,Gen-Z
on god,I swear to god; an expression of truthfulness.,neutral,On god that was the scariest movie I've seen.,Gen-Z
woke,Socially aware and conscious of injustice.,neutral,He's very woke about environmental issues.,Millennial
oof,An expression of sympathy discomfort or secondhand embarrassment.,negative,Oof that's rough buddy.,Millennial
yeet,To throw something with force or an exclamation of excitement.,positive,He just yeeted his phone across the room.,Gen-Z
hyped,Very excited or enthusiastic.,positive,I'm so hyped for this concert tonight.,Millennial
vibe check,Assessing the overall mood or atmosphere of a situation.,neutral,This party needs a vibe check something feels off.,Gen-Z
glow up,A positive transformation in appearance or overall quality of life.,positive,She had a major glow up over the summer.,Gen-Z
flex,To show off possessions or achievements.,sarcastic,That's a weird flex but okay.,Gen-Z
big yikes,A stronger version of yikes expressing extra cringe or embarrassment.,negative,You texted your ex at 2am? Big yikes.,Gen-Z
tea,Gossip or truth; to spill the tea means to share information.,neutral,Spill the tea what happened last night?,Gen-Z
shook,Surprised shocked or deeply unsettled.,negative,I'm absolutely shook by that plot twist.,Millennial
pressed,Upset worried or bothered by something.,negative,Why are you so pressed about what they said?,Gen-Z
drip,Stylish clothing or accessories; a cool fashion sense.,positive,His drip is unmatched today.,Gen-Z
goated,Someone or something considered the greatest of all time.,positive,That player is absolutely goated.,Gen-Alpha
ratio,On social media when a reply gets more engagement than the original post.,sarcastic,That opinion got ratioed instantly.,Gen-Z
understood,Used to acknowledge information quickly without further comment.,neutral,You need the files by Friday? Understood.,Gen-Z
rent free in my head,When a thought or person won't stop occupying your mind.,sarcastic,That conversation is living rent free in my head.,Gen-Z
ate and left no crumbs,Performed so perfectly that nothing was left to criticize.,positive,She ate and left no crumbs in that performance.,Gen-Z
unalived,A euphemism for killing often used to avoid content moderation filters.,negative,The villain threatened to unalive the hero.,Gen-Z
cooked,To be in serious trouble or have completely failed.,negative,We forgot the presentation at home. We're cooked.,Gen-Z
it's giving,Used to describe the vibe or energy something gives off.,neutral,That outfit? It's giving summer royalty.,Gen-Z
yap,To talk excessively or at length often about unimportant things.,negative,He was yapping for an hour and said nothing useful.,Gen-Alpha
in my era,Going through a particular phase or period in life.,neutral,I'm in my healing era right now.,Gen-Z
mother,The highest compliment for someone who is iconic and influential.,positive,Lady Gaga is mother and we will not debate this.,Gen-Z
no ick,Something that has no off-putting or unattractive qualities.,positive,He's funny kind and smart — genuinely no ick.,Gen-Z
the ick,A sudden feeling of disgust or repulsion toward someone you liked.,negative,He chewed loudly and it gave me the ick immediately.,Gen-Z
roman empire,Something you think about surprisingly often without realizing it.,sarcastic,The 2008 financial crisis is my Roman Empire tbh.,Gen-Z
situationship,A romantic relationship that is undefined and somewhere between friends and dating.,negative,We're not dating but we're not just friends — classic situationship.,Gen-Z
villainera,Embracing a more selfish or ruthless phase of life unapologetically.,sarcastic,I'm in my villain era and I'm not apologizing to anyone.,Gen-Z
slay the house down boots,An extreme compliment meaning someone absolutely nailed everything.,positive,She walked into that interview and slayed the house down boots.,Gen-Z
mother of all,The ultimate or most extreme version of something.,positive,That was the mother of all plot twists.,Millennial
W,Short for win; used to praise someone's decision or achievement.,positive,Taking the day off was a massive W.,Gen-Z
L,Short for loss; used when someone makes a bad decision or fails.,negative,Forgetting the tickets was such an L.,Gen-Z
ngl,Abbreviation for 'not gonna lie'; used before an honest statement.,neutral,Ngl that movie slapped harder than I expected.,Gen-Z
imo,Abbreviation for 'in my opinion'.,neutral,Imo the second album was better than the first.,Millennial
tbh,To be honest; used before a candid statement.,neutral,Tbh I didn't even like that show.,Millennial
iykyk,If you know you know; referencing shared knowledge with a community.,neutral,That feeling at 3am iykyk.,Gen-Z
fwiw,For what it's worth; introducing an opinion that may not matter.,neutral,Fwiw I thought your presentation was great.,Millennial
afaik,As far as I know; indicating uncertain information.,neutral,Afaik they haven't made a final decision yet.,Millennial
smh,Shaking my head; expressing disappointment or disbelief.,negative,He forgot her birthday again smh.,Millennial
lmao,Laughing my ass off; indicating something is very funny.,positive,That video had me lmao for five minutes straight.,Millennial
sus behavior,Acting suspicious or shady in a noticeable way.,negative,He's been showing a lot of sus behavior lately.,Gen-Z
core memory,An especially vivid and meaningful memory that defines who you are.,positive,That road trip became an instant core memory.,Gen-Z
understood the vibe,Naturally adapted to and matched the energy of the situation.,positive,She walked in and immediately understood the vibe.,Gen-Z
snatched to the gods,Absolutely flawlessly styled; perfection in appearance.,positive,Her look was snatched to the gods for that red carpet.,Gen-Z
and I oop,An expression of surprise shock or embarrassment at an unexpected moment.,sarcastic,He walked in while I was talking about him — and I oop.,Gen-Z
slaps,Something that is extremely good especially music.,positive,That new track slaps so hard on repeat.,Gen-Z
bop,A song that is extremely enjoyable and catchy.,positive,This song is such a bop I can't stop replaying it.,Gen-Z
send tweet,A declaration that a statement is so accurate it could be posted online as truth.,positive,Tacos are always the right answer. Send tweet.,Millennial
it me,A relatable statement indicating you see yourself in a situation.,neutral,Me forgetting to eat lunch: it me.,Millennial
adulting,Performing adult responsibilities like paying bills or cooking.,sarcastic,I did laundry and paid a bill today. Adulting achieved.,Millennial
FOMO,Fear of missing out; anxiety about not attending an event.,negative,I got serious FOMO seeing everyone's festival photos.,Millennial
JOMO,Joy of missing out; happiness about staying in instead of going out.,positive,Cancelled plans to stay home with a book. Pure JOMO.,Millennial
finsta,A secondary secret Instagram account used for close friends and unfiltered content.,neutral,I only post the real stuff on my finsta.,Gen-Z
thirst trap,A photo posted on social media specifically to attract attention and compliments.,positive,That beach photo was a clear thirst trap and it worked.,Gen-Z
salty tears,Crying out of jealousy or bitterness.,sarcastic,Their salty tears after losing were priceless.,Gen-Z
catch feelings,To develop romantic feelings unexpectedly.,neutral,I told myself not to catch feelings but here we are.,Gen-Z
lowkey hit,Something secretly very good that you enjoy without admitting it.,positive,That pop song is a lowkey hit I can't deny it.,Gen-Z
say sike right now,A request for someone to take back a shocking or upsetting statement.,negative,You're cancelling on me? Say sike right now.,Gen-Z
periodt with a T,An even stronger version of 'period' used for finality and emphasis.,positive,She is the best artist of this generation periodt with a T.,Gen-Z
understood the drip,Fully appreciating someone's excellent and stylish fashion sense.,positive,He understood the drip from head to toe today.,Gen-Z
understood the frequency,Being completely in sync with someone's energy or wavelength.,positive,We didn't even have to speak — she understood the frequency.,Gen-Z
lovebombing,Making someone feel intensely attached very quickly without being genuinely sincere.,negative,vaish was lovebombed by jaat.,Gen-Z
